N_layers,0,1e-06,3e-06,5e-06,7e-06,9e-06,1.5e-05,2e-05
1,70.5322265625,70.6640625,70.32958984375,69.57763671875,69.0625,67.37548828125,62.01416015625,58.30078125
1_std,0,0.2408221811056137,0.3285684883594513,0.5407284498214722,1.1881399154663086,1.296836495399475,4.719581127166748,6.65501070022583
2,84.1552734375,84.1552734375,83.9306640625,83.02734375,81.5380859375,80.58837890625,69.52392578125,54.51171875
2_std,0,0.11320335417985916,0.26490476727485657,0.9330587983131409,1.2703031301498413,2.3554320335388184,8.969228744506836,21.860525131225586
3,87.59765625,87.4755859375,87.1484375,86.5869140625,85.83251953125,85.14892578125,79.2626953125,63.36669921875
3_std,0,0.07524919509887695,0.2537705898284912,0.6506549715995789,1.207450270652771,1.838474154472351,5.5951385498046875,15.781900405883789
4,88.4765625,88.5400390625,88.48388671875,88.2177734375,87.45361328125,86.0693359375,80.2734375,60.2734375
4_std,0,0.05348853021860123,0.1827162355184555,0.615505576133728,0.5593905448913574,2.072918653488159,5.40991735458374,8.1636381149292
5,90.4541015625,90.458984375,90.19775390625,89.6142578125,89.3017578125,88.02734375,78.67919921875,60.22705078125
5_std,0,0.06774627417325974,0.19942303001880646,0.36579474806785583,0.6147088408470154,1.707867980003357,6.346363067626953,7.35812520980835
6,91.748046875,91.6552734375,91.29638671875,90.46630859375,89.31884765625,88.6083984375,79.9609375,68.08349609375
6_std,0,0.09673639386892319,0.20659996569156647,1.43211829662323,1.4922676086425781,1.6389254331588745,7.986245632171631,13.46756649017334
